,ORF,R value,P value,Bon,BH
136,YJL167W,0.5145967095318836,7.144960412906252e-06,0.04887152922427876,0.0003567264906881661
137,YOR020C,0.5137552429186221,7.43879199204193e-06,0.0508813372255668,0.00036870534221425215
138,YML128C,0.5118729912738682,8.137395476972136e-06,0.055659785062489406,0.0004004301083632331
139,YDR377W,0.5109378499063975,8.506815888007735e-06,0.05818662067397291,0.0004156187190998065
140,YAL062W,0.508050276150838,9.748731838036365e-06,0.06668132577216873,0.0004729172040579343
141,YLR304C,0.506639243357622,1.041530869719319e-05,0.07124071148880141,0.0005016951513295875
142,YDR511W,0.5049647152935387,1.1261467358607285e-05,0.07702843673287384,0.0005386603967333835
143,YMR083W,0.5047455255577895,1.1376853115303304e-05,0.0778176753086746,0.0005404005229769069
144,YKR097W,0.5042223338886229,1.1656742183161749e-05,0.07973211653282636,0.0005498766657436301
145,YKR016W,0.5036013295263964,1.1997286448471306e-05,0.08206143930754373,0.0005620646527913954
146,YDR178W,0.5030802551775726,1.2290163292898115e-05,0.0840647169234231,0.0005718688226083204
147,YDR256C,0.501546066514111,1.3191631765344828e-05,0.09023076127495862,0.0006096673059118826
148,YLL026W,0.49958353194597566,1.4434676235704174e-05,0.09873318545221654,0.0006626388285383661
149,YLR178C,0.49850332551850746,1.5164581276827823e-05,0.1037257359335023,0.0006915049062233487
150,YCR004C,0.4970934088838518,1.6169028367318413e-05,0.11059615403245794,0.0007324248611421056
151,YHR096C,0.49329606410294174,1.919080793679073e-05,0.13126512628764858,0.0008635863571555827
152,YPR010C-A,0.49266168368137464,1.974413182566834e-05,0.13504986168757147,0.0008826788345592906
153,YIL124W,0.4914059650910912,2.0883424990229837e-05,0.1428426269331721,0.0009275495255400785
154,YEL024W,0.49068763229883344,2.1562346326337384e-05,0.1474864488721477,0.0009515254765945013
155,YDL198C,0.48939969099523645,2.2831264884332305e-05,0.15616585180883297,0.0010010631526207242
156,YPL134C,0.48824105338792334,2.40317568765489e-05,0.16437721703559446,0.0010469886435388182
157,YGR181W,0.4882360783231346,2.4037035847557114e-05,0.16441332519729066,0.001040590665805637
158,YNL009W,0.4879812099098583,2.4308919313309507e-05,0.16627300810303702,0.0010457421893272768
159,YIR037W,0.4862835742291555,2.619408048929852e-05,0.17916751054680186,0.0011197969409175116
160,YHR001W-A,0.48516939531539494,2.7504205951499164e-05,0.1881287687082543,0.0011685016689953682
161,YML131W,0.4848462404438928,2.7895425585820677e-05,0.19080471100701343,0.001177806858067984
162,YBR120C,0.48414259623950623,2.876521829717646e-05,0.196754093152687,0.0012070803260901043
163,YDR070C,0.48379019032421466,2.9210238018998523e-05,0.1997980280499499,0.0012182806588411578
164,YIL160C,0.4835201796180425,2.9555524493149505e-05,0.20215978753314262,0.0012252108335341976
165,YOR187W,0.4806773536740926,3.3428144723524356e-05,0.2286485099089066,0.0013774006621018469
166,YKR046C,0.4802735120761551,3.4014979481173276e-05,0.2326624596512252,0.001393188381145061
167,YCL057C-A,0.4798134300503949,3.469517870872059e-05,0.23731502236764884,0.0014125894188550525
168,YNL104C,0.47885338624909396,3.6155361449737635e-05,0.24730267231620542,0.0014633294219893811
