,ORF,Gene name
710,YDL149W,ATG9
711,YGR096W,TPC1
712,YMR061W,RNA14
713,YKL137W,CMC1
714,YKL189W,HYM1
715,YMR035W,IMP2
716,YIL146C,ATG32
717,YGR101W,PCP1
718,YGL063W,PUS2
719,YNL125C,ESBP6
720,YLR327C,TMA10
721,YGL080W,MPC1
722,YGR287C,IMA1
723,YAL056W,GPB2
724,YDL120W,YFH1
725,YDR219C,MFB1
726,YDR049W,VMS1
727,YPL099C,INA17
728,YLL009C,COX17
729,YKR064W,OAF3
730,YOL021C,DIS3
731,Q0060,AI3
732,YKR042W,UTH1
733,YNL304W,YPT11
734,YDR125C,ECM18
735,YNL305C,BXI1
736,YKR071C,DRE2
737,Q0130,OLI1
738,YDR185C,UPS3
739,YBR268W,MRPL37
740,YAR008W,SEN34
741,YHR086W,NAM8
742,YOR246C,ENV9
743,YDR065W,RRG1
744,YPL266W,DIM1
745,YJR053W,BFA1
746,Q0275,COX3
747,YMR194C-B,CMC4
748,YGR088W,CTT1
749,YLR368W,MDM30
750,YPR151C,SUE1
751,YCR086W,CSM1
752,YLR218C,COA4
753,YHR030C,SLT2
754,YLL018C-A,COX19
755,YKL093W,MBR1
756,YDL048C,STP4
757,YNL063W,MTQ1
758,YPL148C,PPT2
759,YER183C,FAU1
760,YER140W,EMP65
761,YML021C,UNG1
762,YAL015C,NTG1
763,YLR165C,PUS5
764,YLR164W,SHH4
765,YPR037C,ERV2
766,YMR256C,COX7
767,YMR055C,BUB2
768,YMR211W,DML1
769,YEL059C-A,SOM1
770,YJL062W-A,COA3
771,YGL061C,DUO1
772,YMR059W,SEN15
773,YGL216W,KIP3
