,Gene name,mito,ORF,value,R value,P value,BH
199,GCV3,mito,YAL044C,0.00024660623121227455,-0.057762109288270753,0.6903042975414969,1.045313569887943
200,YME2,mito,YMR302C,0.00024328452453244292,0.09997015512270122,0.5037611070847194,0.9108448248637274
201,TRX3,mito,YCR083W,0.00024191286740678718,0.4162370478193341,0.00325500164384803,0.06587044746722048
202,TIM13,mito,YGR181W,0.0002412557651386416,0.21414961209931846,0.14385645000610406,0.5606712923314825
203,MGM1,mito,YOR211C,0.00024110039117271155,0.020023789807586657,0.8925442821496951,1.173587637428665
204,YPT7,mito,YML001W,0.0002396511512019199,-0.06378852893949336,0.6598695545507456,1.02696422141686
205,COX17,core,YLL009C,0.00023952865370904846,0.5232122044908138,9.677715752445359e-05,0.004189593401691535
206,RPN11,mito,YFR004W,0.00023753514455756867,-0.07619567524964219,0.5989417215915267,0.9824367807400582
207,CIR1,mito,YGR207C,0.00023543675805148232,0.14835313977512063,0.30386246317231574,0.7579938906267834
208,ISM1,mito,YPL040C,0.0002353481760030971,0.5224971986978966,0.00016496473898010885,0.006637404791905556
209,MIX17,mito,YMR002W,0.00023493074588841766,-0.1594122912385461,0.3390778573925748,0.7662016995590393
210,PRE6,mito,YOL038W,0.00023479484616939096,0.1640641235796909,0.2549113080345075,0.7087777833154599
211,MIC10,mito,YCL057C-A,0.0002342925488282364,0.33044989831874605,0.023293127288169704,0.2302384257963595
212,MSS51,mito,YLR203C,0.00023376637845594326,0.10074120189124065,0.4909874874170914,0.9020559801055346
213,RIB3,mito,YDR487C,0.0002317065739712944,0.06273736937708331,0.6651407545118821,1.0302451904124261
214,MAE1,mito,YKL029C,0.00023010832718629862,-0.1169144070917685,0.4187577343917651,0.8446779425655185
215,MNP1,mito,YGL068W,0.00022673170986232849,0.005956554252386521,0.9672526719139399,1.2172968308907728
216,MRPL19,mito,YNL185C,0.00022088212923766106,0.20804069051379637,0.1471202331753965,0.558126674941604
217,VPS21,mito,YOR089C,0.0002206737386195681,-0.09832883212903466,0.49691415334097433,0.9061297810856477
218,ARC18,mito,YLR370C,0.0002148090469414992,-0.09547416569374394,0.5095502678447625,0.9126273453936046
219,MGM101,mito,YJR144W,0.000210476224244517,0.045704024167057725,0.7577313598782727,1.091362918839205
220,YTA12,mito,YMR089C,0.000209776113022599,-0.010268708261618029,0.9435760198618299,1.2018733660809902
221,MIA40,mito,YKL195W,0.00020815427215276931,0.16048000018661823,0.270671183186693,0.7231995675769454
222,MGE1,mito,YOR232W,0.00020805274921475278,0.24501459567424613,0.08635570735627364,0.44579097231465037
223,ARC15,mito,YIL062C,0.00020737305998904377,-0.07351864674578837,0.6156496058295109,0.995048039667735
224,FMP46,mito,YKR049C,0.00020667409877133625,0.23372385809671417,0.11383897476977707,0.5033345749355367
225,COX7,core,YMR256C,0.00020651432702222772,0.5232122044908138,9.677715752445359e-05,0.004243306137610657
226,TMA10,mito,YLR327C,0.00020629138308139513,0.3129199774078508,0.0524250788289581,0.35294049132881233
227,TRM1,mito,YDR120C,0.00020476584733590276,-0.14239356270193287,0.32906022356344267,0.7583463373227587
228,DLD2,mito,YDL178W,0.000202131546379221,0.06194709988705163,0.6691142811652524,1.0314946322222958
