,Gene name
331,MTU1;TRMT1;TRMU
332,SPATA20
333,HIGD1A;HIG1;HSPC010
334,CGI-134;MRPS18C
335,ZADH2
336,ABH7;ALKBH7;SPATA11;UNQ6002/PRO34564
337,RPUSD4
338,SLC25A46;TB1
339,MCL1
340,HUSSY-01;LAS;LIAS
341,MRM1
342,PDHA1;RP11-723P2.1-010
343,PDHA2;PDHAL
