,LFQ Intensity A549_1,LFQ Intensity A549_2,LFQ Intensity A549_3,LFQ Intensity GAMG_1,LFQ Intensity GAMG_2,LFQ Intensity GAMG_3,LFQ Intensity HEK293_1,LFQ Intensity HEK293_2,LFQ Intensity HEK293_3,LFQ Intensity HeLa_1,LFQ Intensity HeLa_2,LFQ Intensity HeLa_3,LFQ Intensity HepG2_1,LFQ Intensity HepG2_2,LFQ Intensity HepG2_3,LFQ Intensity Jurkat_1,LFQ Intensity Jurkat_2,LFQ Intensity Jurkat_3,LFQ Intensity K562_1,LFQ Intensity K562_2,LFQ Intensity K562_3,LFQ Intensity LnCap_1,LFQ Intensity LnCap_2,LFQ Intensity LnCap_3,LFQ Intensity MCF7_1,LFQ Intensity MCF7_2,LFQ Intensity MCF7_3,LFQ Intensity RKO_1,LFQ Intensity RKO_2,LFQ Intensity RKO_3,LFQ Intensity U2OS_1,LFQ Intensity U2OS_2,LFQ Intensity U2OS_3,Gene name
64,,,,,,,,,,,,,,,,,,,,,,,1.3457207906096287e-05,,,,,,,,,,,KCP3;KRTCAP3;UNQ3066/PRO9898
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.593872945384429e-06,,,,PLAG1
66,,,,,,,,,1.079453000367976e-05,,,,,,,,,,,,,,,,,,,,,,,,,KEPI;PPP1R14C
67,,,,,2.0158293623846756e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CGB2;CGB1;CGB;CGB3;CGB5;CGB7;CGB8
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.505692026161346e-06,GAGED2;XAGE1;XAGE1A;XAGE1B;XAGE1C;XAGE1D;XAGE1E
69,,,,,,,,,,,,,,,,,,,,,,,,7.819430455283283e-06,,,,,,,,,,KCP2;KRTCAP2
70,,,,,,,,,9.387452182014341e-05,,,,,,,,,,,,,,,,,,,,,,,,,C14orf32;MAPK1IP1L
71,,,,,,,,,,,,,,,,,,7.868923090586481e-07,,,,,,,,,,,,,,,,SPNS3;hCG_1811218;MGC29671
72,,,6.547021653142113e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BTEB3;KLF13;NSLP1
73,,,,,,,,,1.308771224652134e-06,,,,,,,,,,,,,,,,,,,,,,,,,C22orf5;PSEC0108;TMEM184B;DKFZp686N1150
74,,,3.7824028079930865e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C17orf79;COPR5
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0002440147690866e-06,,,,SRF
76,,,,,,,,,,,,5.294951014905267e-07,,,,,,,,,,,,,,,,,,,,,,ETR101;IER2
77,,,,,,,,,,,,,,,,,,,,,,,,1.4156735615397772e-06,,,,,,,,,,
78,,,,,,,,,,,,1.7329656190941837e-05,,,,,,,,,,,,,,,,,,,,,,C1QTNF6;CTRP6;UNQ581/PRO1151;dJ151B14.4
79,,,,,,1.3979713647877766e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC35A3;hCG_31495
80,,,,,,,,3.0572541149614926e-06,,,,,,,,,,,,,,,,,,,,,,,,,,GAP43;hCG_2022854
81,,,,,,,,,,,,,,,,,,,,,,,6.036413226980916e-07,,,,,,,,,,,
82,,,,,,,,,4.6816693506804977e-07,,,,,,,,,,,,,,,,,,,,,,,,,LIG3;LRIG3;UNQ287/PRO326/PRO335
83,,,,,,,,,,,,,,,,,,,,,,,6.848287149338948e-07,,,,,,,,,,,IL1F3;IL1RA;IL1RN;IL-1ra3
84,,,,,,,,,,,,,,,,,,,,,,,,,,,4.035700057890605e-07,,,,,,,C20orf149;EXPDF;PPDPF
85,,,,,,,,,,,,,,,,,,7.489801374839239e-07,,,,,,,,,,,,,,,,LIPD;LPL
86,,,,0.00016035315760549743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCP1;KRTCAP1;PERP;PIGPC1;THW
87,,,,,,,,,,,,,,,,,,4.0754380943347935e-06,,,,,,,,,,,,,,,,DOC2A
88,,,,,,6.394230322631957e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEPROTL1;My047;UNQ577/PRO1139;hCG_15463;TRG12
89,,,,,,,,,,,,,,,,,,6.659464384589249e-07,,,,,,,,,,,,,,,,PRO1580;TMCO6
90,,,,,,,,,,,,2.0601457500458962e-07,,,,,,,,,,,,,,,,,,,,,,ANKRD2;ARPP;RP11-548K23.2-002
91,,,,,,,,,,,,,,,,,,,,,,,,,,,5.993574128400721e-08,,,,,,,CCDC120;JM11;hCG_1749782
92,,,,,,,,,,,,,4.246177497434497e-06,,,,,,,,,,,,,,,,,,,,,AXIN2;DKFZp781B0869
93,,,7.034298235148565e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hCG_2039828;WBP1
94,,,,,,,,,,,,,,,,,,5.036679319356446e-07,,,,,,,,,,,,,,,,BCA3;C11orf17
95,,,,,,,,,,,,,,,1.7913629721477245e-07,,,,,,,,,,,,,,,,,,,CML1;GLA;NAT8;TSC501
96,,,,,,,,,,,,,,,,,,2.1069309394016264e-06,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,2.4821000395390384e-06,,,,,,,,,,,,,CD69;CLEC2C;hCG_38142
98,,,8.751122783140214e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101F6;CYB561D2;LUCA12.2
99,,,,,,,,,,,,,,,,,,,,,,,5.740093439345073e-05,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.928128009174636e-07,CAP20;CDKN1;CDKN1A;CIP1;MDA6;PIC1;SDI1;WAF1;hCG_15367
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.460737215918057e-06,,,,IBP6;IGFBP6
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.592096370099416e-07,,,,CAGB;CFAG;MRP14;S100A9
103,,,,,,,,,,7.700260830144251e-07,,,,,,,,,,,,,,,,,,,,,,,,C1orf91;PP1065;UNQ548/PRO1105
104,2.8342486621821727e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLCXD3
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2065158315179356e-06,,,C22orf13;hCG_41202;LLN4
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1488702395221924e-05,,,,ZBTB9;DASS-97D12.7-001;hCG_1781796;XXbac-BPG294E21.8-001
107,,,,,,,,,,,,,,,,,,,9.157219922612817e-07,,,,,,,,,,,,,,,GAL;GAL1;GALN;GLNN
108,,,,,,,,,,,,,,,,,,,,,,,,,,,6.932021180981865e-07,,,,,,,TCTN1;TECT1;UNQ9369/PRO34160
109,,,3.972709210635218e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICHN;NIPA4;NIPAL4
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.775226015467369e-07,C1orf32;ILDR2
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,4.4662013717741564e-07,,,,,,,,,,,,,,,,SLC30A3;ZNT3
113,,,9.633537167288546e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP11-435J19.1-003;WNT7B;RP11-435J19.1-002
114,,,,,,,,,,,,,,,,,,,,,,,1.1296917627262263e-06,,,,,,,,,,,C5orf28
115,,,,,,,,,,,,,,,,,,,,,,,,5.263724147953582e-07,,,,,,,,,,NPDC1;RP11-229P13.1-002
116,,,,,,,,,,,,4.805592561259264e-07,,,,,,,,,,,,,,,,,,,,,,SSX2;SSX2A;SSX2B;SSX-HSTT
117,,,,,,,,,,,,,,,,,,1.5416056758136614e-07,,,,,,,,,,,,,,,,KIAA0542;SFI1;RP5-858B16.1-024
118,,,5.082340725807912e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDKRB2;BKR2;DKFZp686O088;B2-bradykinin receptor gene
119,,,7.760483453658176e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2orf27A;C2orf27B
120,,,,,,,,1.7828571136417046e-05,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF771
121,,,,,,,,,,,,,,,,,,,,,,,,,2.9386539490279486e-07,,,,,,,,,HOX3G;HOXC13;NUP98/HOXC13
122,,,,,,8.033749310990237e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNPEPL1
123,,,,,,1.4062362068432685e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNB5
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.972979049472341e-06,SGCB;hCG_20638
125,,,,,,,,,,,,,,3.5181287721700842e-06,,,,,,,,,,,,,,,,,,,,AQP11;AQPX1;PSEC0027
126,,,,,,,,,,,,,,,,,,,,,,2.725668650307569e-05,,,,,,,,,,,,LPRP;PROL4;PRR4
127,,,,,,,,,4.914753468009447e-07,,,,,,,,,,,,,,,,,,,,,,,,,NIPAL3;NPAL3;hCG_20009;RP3-462O23.3-007
128,,,,,,,,,,,,,,,,,,,,,,,,1.0899865060890664e-05,,,,,,,,,,TSPAN1
129,,,,,,6.986204202833256e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,B3GNT5
130,,,,,,,,,,,,1.6705325672361265e-05,,,,,,,,,,,,,,,,,,,,,,TM4SF1;M3S1;TAAL6
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6194097584101883e-06,,,,,,HIAT1
132,,,,,,,,,3.7847459925265524e-07,,,,,,,,,,,,,,,,,,,,,,,,,NKX2-4;NKX2D
133,,,,,,,,,,,2.16277625484884e-06,,,,,,,,,,,,,,,,,,,,,,,C15orf61
134,,,3.8177525620845334e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORAI2
135,,,,,,,,,,,,,5.774696240094077e-07,,,,,,,,,,,,,,,,,,,,,GIG43;PLSCR4;hCG_16799
