Gene name,LFQ Intensity A549_1,LFQ Intensity A549_2,LFQ Intensity A549_3,LFQ Intensity GAMG_1,LFQ Intensity GAMG_2,LFQ Intensity GAMG_3,LFQ Intensity HEK293_1,LFQ Intensity HEK293_2,LFQ Intensity HEK293_3,LFQ Intensity HeLa_1,LFQ Intensity HeLa_2,LFQ Intensity HeLa_3,LFQ Intensity HepG2_1,LFQ Intensity HepG2_2,LFQ Intensity HepG2_3,LFQ Intensity Jurkat_1,LFQ Intensity Jurkat_2,LFQ Intensity Jurkat_3,LFQ Intensity K562_1,LFQ Intensity K562_2,LFQ Intensity K562_3,LFQ Intensity LnCap_1,LFQ Intensity LnCap_2,LFQ Intensity LnCap_3,LFQ Intensity MCF7_1,LFQ Intensity MCF7_2,LFQ Intensity MCF7_3,LFQ Intensity RKO_1,LFQ Intensity RKO_2,LFQ Intensity RKO_3,LFQ Intensity U2OS_1,LFQ Intensity U2OS_2,LFQ Intensity U2OS_3
GAGED2;XAGE1;XAGE1A;XAGE1B;XAGE1C;XAGE1D;XAGE1E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.557644661954887e-06
KCP2;KRTCAP2,,,,,,,,,,,,,,,,,,,,,,,,7.953589301838611e-06,,,,,,,,,
C14orf32;MAPK1IP1L,,,,,,,,,9.47057808696647e-05,,,,,,,,,,,,,,,,,,,,,,,,
SPNS3;hCG_1811218;MGC29671,,,,,,,,,,,,,,,,,,7.926763581927006e-07,,,,,,,,,,,,,,,
BTEB3;KLF13;NSLP1,,,6.580777153779522e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C22orf5;PSEC0108;TMEM184B;DKFZp686N1150,,,,,,,,,1.3203603960604265e-06,,,,,,,,,,,,,,,,,,,,,,,,
C17orf79;COPR5,,,3.8019043320692856e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.013041477558532e-06,,,
ETR101;IER2,,,,,,,,,,,,5.339715299170539e-07,,,,,,,,,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,,1.439962431835532e-06,,,,,,,,,
C1QTNF6;CTRP6;UNQ581/PRO1151;dJ151B14.4,,,,,,,,,,,,1.7476163619200762e-05,,,,,,,,,,,,,,,,,,,,,
SLC35A3;hCG_31495,,,,,,1.408691723062419e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAP43;hCG_2022854,,,,,,,,3.0827289396405278e-06,,,,,,,,,,,,,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,6.136572776510283e-07,,,,,,,,,,
LIG3;LRIG3;UNQ287/PRO326/PRO335,,,,,,,,,4.7231255407005727e-07,,,,,,,,,,,,,,,,,,,,,,,,
IL1F3;IL1RA;IL1RN;IL-1ra3,,,,,,,,,,,,,,,,,,,,,,,6.96191776575528e-07,,,,,,,,,,
C20orf149;EXPDF;PPDPF,,,,,,,,,,,,,,,,,,,,,,,,,,,4.075980152582985e-07,,,,,,
