,Gene name
262,KIAA0567;OPA1
263,MRPS14
264,ALR;GFER;HERV1;HPO
265,FTH;FTH1;FTHL6;OK/SW-cl.84;PIG15
266,CGI-118;HSPC290;MRPL48
267,DNAJC19;TIM14;TIMM14;hCG_17532
268,LRP130;LRPPRC
269,AK3;AK3L1;AK6;AKL3L;hCG_2011468;RP11-6J24.4-001
270,AOP1;PRDX3;mer5
271,KIAA0028;LARS2
272,L23MRP;MRPL23;RPL23L
273,LIP2;MRPL17
274,MRPS25;RPMS25
275,HSPC235;MRPL2;MRPL37;RPML2;RP5-997D24.1-003
276,BCL2L13;CD003;MIL1;hCG_19914
277,BND7;EPB72;STOM
278,NKEFB;PRDX2;TDPX1;hCG_172488
279,TCF6;TCF6L2;TFAM
280,CCDC44;PRO0477;TACO1
281,MRPL53
282,PTCD3;TRG15
283,BM-047;MRPS30;PDCD9
284,C10orf70;CISD1;MDS029;ZCD1
285,PHB;hCG_29613
286,SCO1;SCOD1
287,BCKDK;hCG_21145
288,C9orf15;PGES2;PTGES2;hCG_1785478
289,GSTZ1;hCG_22265
290,GUF1
291,HADHB;MSTP029
292,ACAD8;ARC42;IBD;hCG_37259
293,THNSL1;FLJ22002
294,ALEX3;ARMCX3;BM-017;UNQ2517/PRO6007
295,VDAC;VDAC1
296,MTU1;TRMT1;TRMU
297,PC
298,APT1;LPL1;LYPLA1;hCG_1983522
299,C17orf25;CGI-150;GLOD4;My027
300,EPHX2
301,CTMP;THEM4
302,AMACR
303,C5orf31;LYRM7
304,ACAA2
305,C21orf92;MRPL39;MRPL5;MSTP003;PRED22;RPML5
306,CCDC90B;CUA003;MDS011;MDS025;hCG_27349
307,KIAA0264;MRPS27
308,DLST;hCG_22359
309,MAAT1;MRPL28;Z97634.1-001;Z97634.1-010;Z97634.1-009;Z97634.1-011
310,DIC;SLC25A10
311,APOOL;CXorf33;FAM121A;UNQ8193/PRO23204;DKFZp779P1227
312,OSGEPL1
313,ACAS2L;ACSS1;KIAA1846;DKFZp666G0810
314,PDK1;PDPK1;PkB-like 1;PDPK2;PkB-like 2
315,MOSP;PLIP;PNAS-129;PTPMT1
316,ABH7;ALKBH7;SPATA11;UNQ6002/PRO34564
317,OMP25;SYNJ2BP
318,TTC19;hCG_28939
319,CYP3;PPIF
320,CPT1;CPT1A
321,MARS2
322,SPATA20
323,PDF;PDF1A
324,HSPC017;PDIP38;POLD4;POLDIP2;DKFZp586F1524
325,BCRM1;SFXN4;RP11-435O11.4-004
326,ALDH2;ALDM
327,BZRP;MBR;TSPO;PBR;RP3-526I14.4-005
328,AGK;MULK;FLJ10842;hCG_39451;tcag7.330
329,BCS1;BCS1L
330,VDAC2;RP11-375G3.1-010;RP11-375G3.1-005
331,CCDC58
332,DMGDHL1;SARDH;RP11-317B10.2-005
333,BCKDHA
334,SAMM50;CGI-51;TRG3
335,NUDT8
336,MRPL44
337,MRPL21;hCG_27184
338,SIR2L5;SIRT5
339,WARS2
340,CAC;CACT;SLC25A20
341,GDAP1
342,TSFM;hCG_40154
343,GHITM;DERP2;My021;TMBIM5;UNQ244/PRO281;RP11-124L5.3-002;DKFZp566C0746
344,TARS2;TARSL1;hCG_1999130;RP11-54A4.9-010;RP11-54A4.9-012;DKFZp667F1511
345,MRPS34
346,ENDOGL1;ENDOGL2;ENGL;EXOG
347,INPP5E;KIAA0123;MPPA;PMPCA;hCG_1780842;RP11-413M3.1-001
348,MRPL20
349,C17orf35;PM1;TMEM11
350,MCCB;MCCC2
351,AGMAT
352,HSP75;TRAP1
353,CGI-47;TRNT1
354,ALDH1B1;ALDH5;ALDHX
355,COASY;PSEC0106
356,HADH;HADHA
357,C3orf5;GK002;MRPS22;RPMS22
358,PHYH;RP11-24J20.1-002;PAHX;RP11-24J20.1-005
359,hCG_40633;SLC25A13;ARALAR2
360,SUPV3L1;SUV3
361,OCIA;OCIAD1
362,EFG2;GFM2;MSTP027
363,ATAD3A;RP5-832C2.1-002
364,C10orf34;CHCHD1
365,DHRS4;UNQ851/PRO1800
366,MRPL43;RP11-108L7.13-006;RP11-108L7.13-009;hCG_24670;RP11-108L7.13-008
367,ECHD;EHHADH
368,SDSL
369,GTPBP6;PGPL
370,GTPBP10;OBGH2;UG0751c10
371,ACSS3
372,CGI-139;MRPS33;PTD003;hCG_40133;tcag7.371
373,DHRS2
374,GLUR;GRD1;GSR
375,C21orf101;MRPS6;RPMS6
376,LAP3;LAPEP;PEPS
377,CBR4
378,GRP75;HSPA9;HSPA9B
379,D2HGD;D2HGDH
380,C2orf1;MRPL33;hCG_1820980
381,MRPS17;HSPC011;RPMS17
382,HMGCL;hCG_37683;RP5-886K2.8-001
383,C3orf33;MSTP052;hCG_27946
384,CDA09;HSPC241;MRP64;MRPL51
385,IDH2
386,ERAB;HADH2;HSD17B10;MRPP2;SCHAD;XH98G2;hCG_19788;RP3-339A18.2-001;RP3-339A18.2-004
387,C20orf193;MRPS26;RPMS13
388,GREPEL1;GRPEL1
389,GLUD;GLUD1;hCG_1993805
390,PEX11B
391,SARS2;SARSM
392,C11orf4;MRPL49;NOF1;OK/SW-cl.67
393,ACACT;ACACT1;ACAT;ACAT1;SOAT;SOAT1;STAT;hCG_23564;RP11-215I23.1-002
394,HSPC335;MRPS24
395,PRDX4
396,PARS2
397,FUNDC2;GS1-273L24.1-004;DC44;HCBP6;HCC3;PD03104
398,MRPS10;MSTP040
399,MRPS12;RPMS12;RPSM12
400,PARL;PRO2207;PSARL
401,ALDH7A1;ATQ1
402,CGI-04;YARS2
403,CLPX;DKFZp586J151
404,DDP2;DDPL;TIM8B;TIMM8B
405,CGI-132;MRPS16;RPMS16
406,AGPAT5
407,BM-043;IPLA22;IPLA2G;PNPLA8;hCG_17116;IPLA2(GAMMA)
408,ARMC10;PSEC0198;SVH
409,C9orf99;HSDL2
410,GLOXD1;HPDL
411,MMAA
412,GDA;SLC25A16
413,NUDT5;HSPC115
414,FABGL;HKE6;HSD17B8;RING2
415,CBR3
416,DCAKD
417,CHDH
418,OAT;DKFZp781A11155
419,EFHD1;PP3051;SWS2;FLJ13612;MST133
420,DC38;MTIF3
421,VDAC3
422,AIF;AIFM1;PDCD8
423,CYP24;CYP24A1;RP5-1075G21.1-004;RP5-1075G21.1-006
424,AASS;hCG_33410;tcag7.61
425,GLXR;GRHPR;MSTP035;hCG_30089;RP11-397D12.2-002
426,LRP16;MACROD1
427,DDX30;DHX30;KIAA0890
428,MPST;TST2;hCG_41447;LL22NC01-146D10.4-005
429,GLO2;HAGH;HAGH1
430,CGI-91;MRPS2
431,BNIP3;NIP3
432,CISD3
433,GADD45GIP1;PLINP1;PRG6
434,MRPL54
435,OXSM
436,ABCD1;ALD
437,APAH1;NUDT2
438,MPPB;PMPCB;DKFZp586I1223
439,HSPC250;MRPL27
440,MCFP;SLC25A40
441,CGI-138;HSPC329;MRPS23
442,MSRB2;CBS-1;CGI-131;MSRB;hCG_23087
443,AOP2;KIAA0106;PRDX6
444,ADXR;FDXR;hCG_29834
445,DNAJA3;HCA57;TID1;hCG_15165
446,EFE2;G4.5;TAZ;XX-FW83563B9.3-011
447,GDF15;MIC1;PDF;PLAB;PTGFB
448,C16orf36;FAHD1;YISKL;AC012180.10-003
449,AAT2;ALT2;GPT2
450,MTPAP;PAPD1
451,CGI-65;CIA30;NDUFAF1
452,LYRM1
453,ARALAR1;SLC25A12
454,hCG_29363;MRPL10;MRPL8;RPML8
455,GSTK1;hCG_20682;HDCMD47P;LOC51064;tcag7.883
456,COT;CROT
457,COX17;hCG_2020266;RP11-189B4.3-001
458,MRPS7
459,DNAJC20;HSC20;HSCB;hCG_40981;RP3-366L4.2;RP3-366L4.3-003
460,FKBP10;FKBP65;PSEC0056;DKFZp666D193
461,TMEM70
462,AKAP10
463,GRSF1;hCG_17000
464,ALDH1L2
465,MRPS5
466,BAX;BCL2L4
467,KIAA1290;OGDHL
468,CGI-114;REXO2;SFN;SMFN;hCG_38016
469,NME6
470,FMT;FMT1;MTFMT
471,HARS2;HARSL;HARSR;HO3;hCG_1982406
472,PSEC0082;RDH13;UNQ736/PRO1430
473,HMGCS2
474,SND1;TDRD11
475,ABCB6;MTABC3;PRP;UMAT
476,FABP1;FABPL;hCG_32947
477,HBP;HEBP1
478,PAN2;RDH14;UNQ529/PRO1072;hCG_1641437
479,ICF45;THG1L
480,ISCU;NIFUN
481,C3orf68;CMC1;hCG_1645845;MGC61571
482,PYCR2;hCG_32783;P5CR2
483,ADK2;AK2
484,hCG_24661;SFXN3
485,DAP3;MRPS29;hCG_17177
486,C9orf105;TOM5;TOMM5;RP11-613M10.3-002
487,PRO1512;TIM50;TIMM50
488,CAR;CMAR;PGN;SPG7
489,SCO2
490,ALDH4;ALDH4A1;P5CDH
491,FKSG24;MPV17L2
492,CLB;CLYBL
493,C4orf1;HUEL;SLC30A9
494,C6orf14;HSPC183;MRPS18B;PTD017;DAMA-178G23.8-001;DAMC-83F13.5-001;DADB-129D20.6-003;DAMA-178G23.8-003;DAMC-83F13.5-003;DAQB-47P19.5-003;DASS-182C6.3-003;XXbac-BCX48F10.3-003;XXbac-BPG249D20.2-003
495,KIAA0436;PREPL;hCG_16812
496,ABAT;GABAT
497,CGI-135;FIS1;TTC11
498,DTD1;C20orf88;HARS2
499,BAP;PHB2;REA
500,CGI-105;FAHD2A;FAHD2B
501,CASP3;CPP32;hCG_1786935
502,HSPC283;MRPL32;hCG_19886;tcag7.484
503,C6orf66;HRPAP20;HSPC125;My013;NDUFAF4
504,DHRS1
505,ACOT13;HT012;PNAS-27;THEM2
506,BM-007;MRPL35
507,ABCB8;MABC1;hCG_18685
508,SOD1
509,BID;hCG_21529
510,MPRP1;OMA1
511,AHCYL1;DCAL;XPVKONA;hCG_38162
512,hCG_18655;PDK3
513,FGF2AS;NUDT6
514,HCC2;MRPS11;RPMS11
515,LETMD1
516,CAT1;CRAT
517,MDS016;MRPS21;RPMS21;hCG_1641433;RP4-790G17.6-001
518,FDPS;FPS;KIAA1293
519,ORP1;OSBP8;OSBPL1;OSBPL1A;OSBPL1B;hCG_2020467
520,SNAP29
521,ELAC2;HPC2
522,C15orf4;LIECG2;MRPL46
523,TK2;hCG_1640726
524,CC3;HTATIP2;TIP30
525,MRPS18A;RP1-261G23.2-002;hCG_19012;RP1-261G23.2-001
526,MTHFD1L;RP1-292B18.2-008;FTHFSDC1
527,LIPT2
528,DDX28;MDDX28
529,C16orf49;COQ9;HSPC326;PSEC0129
530,HSPC071;MRPL18;hCG_34030
531,C14orf87;GLRX5
532,CPR2;FASTKD4;KIAA0948;TBRG4
533,ALDH18A1;GSAS;P5CS;PYCS
534,AD030;AD033;C2orf33;GL004;MFF
535,CGI-10;COQ6;hCG_21715
536,AADAT;KAT2;hCG_17308
537,NNT
538,STX17;DKFZp762D1813
539,DRIP3;IRIP;YRDC
540,MIG11;MOCS1
541,CGI-83;LACTB2
542,FLJ13984;hCG_2004932;METTL8
543,FTSH1;UNQ1868/PRO4304;YME1L;YME1L1;hCG_25240;FTSH
544,TIM10;TIMM10
545,hCG_21557;RPUSD3
546,CRY1;PHLL1;hCG_1811683
547,MCAT;MT
548,15E1.2;GATC
549,FPGS;RP11-228B15.1-001;RP11-228B15.1-012;RP11-228B15.1-017;RP11-228B15.1-020
550,CDABP0091;CGI-28;MRPL4
551,TMLH;TMLHE
552,COX15
553,C14orf124;HCDI;SDR39U1
554,PPM2C;PDP;PDP1
555,C2orf9;CHCHD5;hCG_16262
556,NDUFA12L;NDUFAF2
557,DC37;MRPS15;RPMS15
558,DNC;MUP1;SLC25A19;DKFZp667O1614;hCG_27461
559,C3orf60;NDUFAF3
560,HSPC249;MRPL28;MRPL30;RPML28;hCG_1989457
561,CGI-33;HIRIP5;NFU1
562,DBI;hCG_17322
563,SPR
564,HMP;IMMT;PIG4;PIG52
565,ODC;SLC25A21
566,FI58G;HT020;NGRN
567,FAS;FASN
568,GLS;GLS1;KIAA0838
569,PICK1;PRKCABP;RP5-1039K5.11-005;hCG_41846
570,JM3;TIM17B;TIMM17B
571,MTX;MTX1;MTXN;RP11-263K19.5-003
572,POLB;DNA pol beta
573,AGTBP;KIAA1226;NLN
574,LDHD
575,AARS2;AARSL;KIAA1270
576,RNASEH1;RNH1
577,MSRA;hCG_1810897
578,ACAD11
579,ME2;hCG_23687
580,POLRMT
581,ABCD3;PMP70;PXMP1
582,FASTKD2;KIAA0971
583,MIMT17;TIM17;TIM17A;TIMM17;TIMM17A
584,SSBP;SSBP1;hCG_2014251;tcag7.401
585,HSPC108;SLP2;STOML2
586,TRX2;TXN2
587,ALS2CR1;MDS015;My018;NIF3L1;DKFZp762L015
588,RPI;RPIA
589,MTRF1A;MTRF1L
590,TDRD2;TDRKH;hCG_16924;RP11-98D18.8-004;RP11-98D18.8-003
591,ENDOG
592,HIGD2A
593,ERAL1;HERA
594,FAM136A
595,KIAA1885;VARS2;VARS2L;VARSL
596,ATAD1;FNP001
597,FASTKD3
